名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
麓山国际茵特拉肯B区 5室2厅 东南,麓山,5室2厅,252.63平米,东南,毛坯,27层,2006年建,板塔结合,500万,"19,792元/平",2人关注,27天以前发布
锦绣水岸 4室2厅 南,光华大道沿线,4室2厅,136.29平米,南,毛坯,低楼层(共18层),2010年建,板塔结合,150.5万,"11,043元/平",0人关注,21天以前发布
温哥华南苑 4室1厅 东,航空港,4室1厅,123.98平米,东,精装,低楼层(共17层),2019年建,板塔结合,160万,"12,906元/平",3人关注,19天以前发布
碧桂园悦府 3室1厅 南,蛟龙港,3室1厅,91.19平米,南,精装,中楼层(共11层),2020年建,塔楼,175万,"19,191元/平",1人关注,17天以前发布
橙花风景 3室1厅 北,光华泡小,3室1厅,83.84平米,北,精装,中楼层(共28层),2008年建,板塔结合,185万,"22,066元/平",2人关注,27天以前发布
凤凰栖岸 3室1厅 南,光华大道沿线,3室1厅,117.73平米,南,精装,高楼层(共34层),2014年建,板塔结合,156万,"13,251元/平",5人关注,21天以前发布
成都后花园三期 4室2厅 东,成外,4室2厅,112.64平米,东,精装,低楼层(共25层),2012年建,板塔结合,179万,"15,892元/平",1人关注,30天以前发布
天际首府 3室1厅 西北,草金立交,3室1厅,125.43平米,西北,精装,低楼层(共12层),2012年建,塔楼,185万,"14,750元/平",4人关注,22天以前发布
中铁塔米亚 3室2厅 东北,成外,3室2厅,107.42平米,东北,精装,中楼层(共18层),2011年建,板塔结合,130万,"12,103元/平",6人关注,28天以前发布
七彩花都B区二期 3室2厅 南,花都大道,3室2厅,86.89平米,南,精装,高楼层(共18层),2012年建,板塔结合,92万,"10,589元/平",0人关注,19天以前发布
城投置地楠悦 3室1厅 北,东升镇,3室1厅,97.4平米,北,精装,高楼层(共25层),2020年建,板塔结合,189万,"19,405元/平",0人关注,22天以前发布
景茂雍水岸 3室2厅 南,文星镇,3室2厅,109.17平米,南,精装,高楼层(共22层),2015年建,塔楼,178.88万,"16,386元/平",20人关注,19天以前发布
招商雍华府二期 3室1厅 西南,驷马桥,3室1厅,93.29平米,西南,精装,高楼层(共20层),2014年建,板塔结合,195万,"20,903元/平",1人关注,26天以前发布
中铁城锦南汇 3室1厅 东,中德,3室1厅,89.21平米,东,精装,中楼层(共39层),2016年建,板塔结合,215万,"24,101元/平",0人关注,4天以前发布
顶峰水岸汇景 3室1厅 东北,营门口,3室1厅,133.07平米,东北,毛坯,中楼层(共33层),2011年建,板塔结合,289万,"21,718元/平",2人关注,4天以前发布
棕南公寓 3室2厅 南,棕北,3室2厅,143.02平米,南,简装,高楼层(共10层),2000年建,板楼,270万,"18,879元/平",1人关注,5天以前发布
万科翡翠公园 4室1厅 南,南湖,4室1厅,121.57平米,南,精装,低楼层(共35层),2019年建,板楼,315万,"25,911元/平",6人关注,7天以前发布
四季金悦 4室2厅 南 北,蛟龙港,4室2厅,121.42平米,南 北,毛坯,中楼层(共12层),2016年建,板塔结合,180万,"14,825元/平",2人关注,6天以前发布
大陆美地西庭 3室2厅 西南,犀浦,3室2厅,82.18平米,西南,精装,低楼层(共22层),2019年建,板塔结合,129万,"15,698元/平",2人关注,3天以前发布
太阳门 2室1厅 东南,九里堤,2室1厅,64.15平米,东南,精装,高楼层(共12层),2005年建,板楼,66万,"10,289元/平",3人关注,6天以前发布
人居都市阳光 3室2厅 东,蛟龙港,3室2厅,139.96平米,东,精装,中楼层(共18层),2010年建,板塔结合,181万,"12,933元/平",0人关注,4天以前发布
中国铁建国际城 3室1厅 南,大面,3室1厅,87.86平米,南,精装,中楼层(共34层),2015年建,板塔结合,130.8万,"14,888元/平",0人关注,5天以前发布
东山国际新城H区三期 3室2厅 东南,东山,3室2厅,81.61平米,东南,简装,低楼层(共31层),2015年建,板塔结合,150万,"18,381元/平",1人关注,9天以前发布
华府金沙 4室2厅 北 东北,金沙,4室2厅,143.96平米,北 东北,精装,中楼层(共32层),2008年建,塔楼,384万,"26,675元/平",0人关注,1天以前发布
正成金楠尚府 3室1厅 东,武侯立交,3室1厅,73.4平米,东,精装,高楼层(共18层),2016年建,板塔结合,135万,"18,393元/平",0人关注,2天以前发布
金沙十年 3室1厅 南,外金沙,3室1厅,110.56平米,南,精装,中楼层(共18层),2012年建,板塔结合,215万,"19,447元/平",0人关注,2天以前发布
美丽星 3室1厅 南,外双楠,3室1厅,117.13平米,南,简装,中楼层(共5层),2004年建,板楼,166万,"14,173元/平",0人关注,2天以前发布
东洪广厦 3室1厅 东南,三圣乡,3室1厅,87.34平米,东南,精装,低楼层(共33层),2013年建,板塔结合,135万,"15,457元/平",5人关注,7天以前发布
和谐家园 3室1厅 南,茶店子,3室1厅,127.04平米,南,其他,低楼层(共18层),2006年建,平房,170万,"13,382元/平",6人关注,6个月以前发布
东山国际玫瑰谷 4室2厅 东北,东山,4室2厅,129.45平米,东北,精装,中楼层(共5层),2015年建,板楼,198万,"15,296元/平",1人关注,18天以前发布
新都国际广场一期 3室1厅 南,新都城区,3室1厅,90.23平米,南,简装,中楼层(共18层),2014年建,板塔结合,100万,"11,083元/平",0人关注,8天以前发布
置信逸都C区 4室2厅 西 西北,郫县万达,4室2厅,132.34平米,西 西北,精装,高楼层(共33层),2012年建,板塔结合,139.8万,"10,564元/平",0人关注,7天以前发布
攀交花园 4室2厅 东南,犀浦,4室2厅,119.69平米,东南,精装,中楼层(共6层),2002年建,板塔结合,98万,"8,188元/平",2人关注,15天以前发布
华宇旭辉锦绣花城 3室2厅 东,龙潭寺,3室2厅,108.8平米,东,精装,低楼层(共11层),2019年建,板楼,203万,"18,659元/平",0人关注,8天以前发布
东风路15号 3室1厅 西北,合江亭,3室1厅,58.23平米,西北,简装,中楼层(共7层),1998年建,板塔结合,90万,"15,456元/平",0人关注,8天以前发布
航天丙区 3室2厅 东南,航天,3室2厅,74.97平米,东南,简装,低楼层(共6层),1999年建,板楼,67万,"8,937元/平",0人关注,14天以前发布
锦上城 2室2厅 东南,龙泉驿城区,2室2厅,78.91平米,东南,精装,中楼层(共11层),2015年建,塔楼,84.5万,"10,709元/平",1人关注,6天以前发布
南城都汇汇晴园五期 3室1厅 南,市一医院,3室1厅,89.41平米,南,精装,中楼层(共18层),2014年建,板楼,278万,"31,093元/平",0人关注,5天以前发布
滨河花园(郫都) 3室1厅 南 北,郫县万达,3室1厅,139.09平米,南 北,其他,高楼层(共6层),2007年建,板楼,82万,"5,896元/平",1人关注,4天以前发布
名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
水岸格林 2室1厅 东南 南,光华泡小,2室1厅,66.83平米,东南 南,简装,高楼层(共6层),2003年建,板楼,145万,"21,697元/平",0人关注,3天以前发布
颐和京都 3室2厅 东,万家湾,3室2厅,88.46平米,东,精装,中楼层(共24层),2012年建,塔楼,210万,"23,740元/平",0人关注,12天以前发布
清水河畔 1室1厅 南,外金沙,1室1厅,50.16平米,南,精装,低楼层(共23层),2008年建,板塔结合,85万,"16,946元/平",1人关注,3天以前发布
上锦颐园佳境 1室1厅 东南,高新西,1室1厅,69.63平米,东南,简装,中楼层(共26层),2012年建,板楼,58.88万,"8,457元/平",0人关注,4天以前发布
